time_stamp,asset_id,status_type_id,train_test,source_file,anomaly_score,is_anomaly,sensor_0_avg,sensor_1_avg,sensor_2_avg,wind_speed_3_avg,wind_speed_4_avg
2022-07-22 03:40:00,0,0,train,24.csv,0.06867058880388194,1,23.0,170.9,-28.1,0.9,0.9
2023-05-09 21:30:00,0,0,prediction,24.csv,0.07016344055303786,1,19.0,262.4,11.5,2.8,2.8
2023-09-01 19:10:00,11,0,train,69.csv,0.0208637253335775,1,29.0,118.1,-0.6000000000000001,10.9,10.5
2022-12-05 11:10:00,10,0,train,42.csv,0.119087190688147,1,16.0,116.4,-3.6,8.8,8.9
2022-07-04 01:20:00,13,0,train,45.csv,0.12002912339634075,1,24.0,124.4,4.4,6.2,6.0
2023-04-19 06:00:00,11,0,train,25.csv,0.1442044358614517,1,19.0,111.0,-2.4,6.6,6.8
2022-08-10 09:40:00,10,4,train,40.csv,0.12278112267126445,1,26.0,114.4,4.8,6.4,6.0
2023-05-25 02:20:00,11,0,prediction,25.csv,0.11345863023204467,1,21.0,136.5,-9.4,9.0,8.8
2023-03-28 04:20:00,13,0,train,84.csv,0.011351582405990102,1,15.0,313.3,-22.2,3.4,3.3
2023-07-28 07:40:00,13,0,train,84.csv,0.026051728564957688,1,26.0,99.2,97.7,0.5,0.5
2023-02-05 11:50:00,11,0,train,25.csv,0.08092547681908507,1,17.0,310.6,-6.4,10.2,10.2
2022-12-28 18:40:00,21,0,train,51.csv,0.0033596475009853854,1,16.0,83.1,-12.1,12.1,12.2
2023-08-08 05:40:00,10,0,train,17.csv,0.03919530143193073,1,26.0,308.9,1.3,3.2,3.2
2022-10-08 22:40:00,13,4,train,38.csv,0.08102117761211497,1,22.0,284.2,1.6,3.1,3.1
2023-06-07 20:10:00,0,4,train,0.csv,-0.042306805203161435,-1,26.0,79.5,-10.9,13.9,13.6
2022-09-07 07:50:00,11,0,train,25.csv,0.0877765960303526,1,24.0,182.3,1.7000000000000002,3.1,3.1
2022-03-01 23:00:00,0,0,train,71.csv,0.061753708989054856,1,13.0,199.6,-54.4,1.3,1.3
2023-06-14 06:50:00,13,0,train,84.csv,0.08290449119749088,1,21.0,241.7,38.0,2.3,2.3
2022-09-13 15:30:00,13,0,train,14.csv,-0.024453735824906175,-1,21.0,242.0,9.8,10.0,10.5
2023-01-09 20:40:00,13,0,train,14.csv,0.08152346972555652,1,14.0,148.4,6.4,1.5,1.5
2022-05-30 07:50:00,13,0,train,14.csv,0.09907966318609318,1,15.0,298.9,-17.7,2.9,2.9
2023-05-19 16:20:00,10,0,train,17.csv,0.11015350966606824,1,26.0,135.4,-14.2,4.9,4.9
2023-05-08 23:50:00,13,0,train,38.csv,0.12562115902014132,1,22.0,120.2,4.1,4.3,4.3
2023-01-27 19:20:00,21,0,train,72.csv,0.07512193126861183,1,14.0,272.9,-9.1,9.3,9.7
2022-01-24 13:50:00,10,0,train,40.csv,0.1293485978596589,1,20.0,95.9,-16.8,5.2,5.3
2022-10-12 20:20:00,21,0,train,72.csv,0.13501286598462509,1,20.0,232.9,4.1,6.0,6.2
2023-06-08 17:00:00,11,0,prediction,25.csv,0.07071192408835941,1,28.0,103.2,-10.5,10.5,9.9
2023-01-28 21:30:00,0,0,train,26.csv,0.0743600504185965,1,13.0,205.2,-45.0,1.6,1.6
